listing_id,id,date,reviewer_id,reviewer_name,comments,language
265408,1087624927968332161,2024-02-09,539087520,Joshua,Für 20 € pro Person pro Nacht war die Unterkunft total in Ordnung. Schönes sauberes Badezimmer.,de
265408,1088993484105157072,2024-02-11,120557151,Lennart,Würde wieder. Sehr gutes Preis-Leistungs-Verhältnis.,de
265408,1099965033054691499,2024-02-26,197425430,Michelle,"Lage, Räume und Personal waren super, die Hochbetten waren aber wirklich extrem laut und haben bei der kleinsten Bewegung Geräusche gemacht, nehmt euch also am beaten Ohrstöpsel mit.",de
266086,1060794187834330532,2024-01-03,184116882,Rebecca,"Sehr schöne Wohnung, die super ausgestattet ist. Ruhig gelegen, etwas außerhalb, aber mit dem öffentlichen Nahverkehr ist die Stadt in einer halben bis dreiviertel Stunde erreichbar.",de
267951,1107185638074829865,2024-03-07,31324731,Adrian,"Sehr angenehmer Aufenthalt, gute Kommunikation mit Frank, Wohnung war gut ausgestattet und sehr sauber! Kommen gerne wieder.",de
183988,1091191616481307106,2024-02-14,444315339,Birgit,Wir haben die 5Tage in Minels Wohnung sehr genossen. Öffentliche Verkehrsmittel sind direkt in der Nähe und der Parkplatz ist Gold wert. Jederzeit wieder!,de
292864,1062202029824259281,2024-01-05,552767122,Adrian,Top Wohnung und Top Lage der Wohnung. Für Touristen genau das richtige.,de
292864,1085401991482855718,2024-02-06,163177346,Roman,"Super einfach, die Unterkunft zu finden und hineinzukommen. Die Hosts waren super freundlich und die Unterkunft war wunderbar!",de
292864,1087589100052218644,2024-02-09,557058267,David,Optimales Zimmer nahe des Zentrums von Berlin für einen kurzen Städtetrip.,de
190448,1099910675901181963,2024-02-26,392112712,Abdulrahman,Ich empfehle weiter.,de
22677,1084628466609842562,2024-02-05,275313627,Melissa,Wir waren sehr zufrieden. Unkomplizierter Check-In… ausreichend Platz und gute Anbindung. Gerne wieder :),de
22677,1086850781189901055,2024-02-08,122877822,Lisa,Ramfis ist sehr freundlich und zuvorkommend. Die Lage ist wirklich toll.,de
303097,1094117370114341489,2024-02-18,368106060,Georgina,"Es war super. Die Lage ist schön ruhig und trotzdem zentral. Das Bett ist bequem, der Balkon ist sehr süß und hat eine schöne Aussicht. Ann-Katrin war sehr freundlich und hilfsbereit und hat schnell auf meine Nachrichten reagiert.<br/>Dankeschön 😊",de
304904,1067989846463997932,2024-01-13,293893463,Simon,Super gastfreundlich und alles war sehr sauber!! <br/>Airbnb direkt neben der Tram und S-Bahn. <br/>Kann ich nur weiterempfehlen!!,de
